Baisley Park,Queens,29.3604557791
Flushing Meadows-Corona Park,Queens,27.3048457336
South Jamaica,Queens,26.2949162399
Randalls Island,Manhattan,24.1509899402
Astoria Park,Queens,21.7064171122
Briarwood/Jamaica Hills,Queens,19.9450646318
Springfield Gardens South,Queens,19.4683092888
Jamaica,Queens,19.2839430001
Corona,Queens,18.2287692482
LaGuardia Airport,Queens,18.1813388084
Jamaica Bay,Queens,17.1005294468
Maspeth,Queens,17.0054506401
Eltingville/Annadale/Prince's Bay,Staten Island,16.8377647569
JFK Airport,Queens,16.7777253483
Battery Park,Manhattan,12.8497803111
Morningside Heights,Manhattan,12.4536980266
Battery Park City,Manhattan,12.4488484044
Greenwich Village North,Manhattan,12.4469498917
Rikers Island,Bronx,12.3063000000
World Trade Center,Manhattan,12.2954119242
